Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
70	45	0	1.01968101	0	0	0	0	0	5e-006	100	0	0	0	3
71	46	0	1.03424788	0	0	0	0	0	5e-006	100	0	0	0	3
72	46	0	1.04881475	0	0	0	0	0	5e-006	100	0	0	0	3
73	47	0	1.06338162	0	0	0	0	0	5e-006	100	0	0	0	3
74	48	0	1.07794849	0	0	0	0	0	5e-006	100	0	0	0	3
75	48	0	1.09251537	0	0	0	0	0	5e-006	100	0	0	0	3
76	49	0	1.10708224	0	0	0	0	0	5e-006	100	0	0	0	3
77	49	0	1.12164911	0	0	0	0	0	5e-006	100	0	0	0	3
78	50	0	1.13621598	0	0	0	0	0	5e-006	100	0	0	0	3
79	51	0	1.15078285	0	0	0	0	0	5e-006	100	0	0	0	3
80	51	0	1.16534972	0	0	0	0	0	5e-006	100	0	0	0	3
81	52	0	1.17991659	0	0	0	0	0	5e-006	100	0	0	0	3
82	53	0	1.19448347	0	0	0	0	0	5e-006	100	0	0	0	3
83	53	0	1.20905034	0	0	0	0	0	5e-006	100	0	0	0	3
84	54	0	1.22361721	0	0	0	0	0	5e-006	100	0	0	0	3
85	55	0	1.23818408	0	0	0	0	0	5e-006	100	0	0	0	3
86	55	0	1.25275095	0	0	0	0	0	5e-006	100	0	0	0	3
87	56	0	1.26731782	0	0	0	0	0	5e-006	100	0	0	0	3
88	57	0	1.2818847	0	0	0	0	0	5e-006	100	0	0	0	3
89	57	0	1.29645157	0	0	0	0	0	5e-006	100	0	0	0	3
90	58	0	1.31101844	0	0	0	0	0	5e-006	100	0	0	0	3
91	59	0	1.32558531	0	0	0	0	0	5e-006	100	0	0	0	3
92	59	0	1.34015218	0	0	0	0	0	5e-006	100	0	0	0	3
93	60	0	1.35471905	0	0	0	0	0	5e-006	100	0	0	0	3
94	60	0	1.36928592	0	0	0	0	0	5e-006	100	0	0	0	3
95	61	0	1.3838528	0	0	0	0	0	5e-006	100	0	0	0	3
96	61	0	1.39841967	0	0	0	0	0	5e-006	100	0	0	0	3
97	62	0	1.41298654	0	0	0	0	0	5e-006	100	0	0	0	3
98	63	0	1.42755341	0	0	0	0	0	5e-006	100	0	0	0	3
99	63	0	1.44212028	0	0	0	0	0	5e-006	100	0	0	0	3
100	64	0	1.45668715	0	0	0	0	0	5e-006	100	0	0	0	3
101	65	0	1.47125403	0	0	0	0	0	5e-006	100	0	0	0	3
102	65	0	1.4858209	0	0	0	0	0	5e-006	100	0	0	0	3
103	66	0	1.50038777	0	0	0	0	0	5e-006	100	0	0	0	3
104	67	0	1.51495464	0	0	0	0	0	5e-006	100	0	0	0	3
105	68	0	1.52952151	0	0	0	0	0	5e-006	100	0	0	0	3
106	68	0	1.54408838	0	0	0	0	0	5e-006	100	0	0	0	3
107	69	0	1.55865525	0	0	0	0	0	5e-006	100	0	0	0	3
108	70	0	1.57322213	0	0	0	0	0	5e-006	100	0	0	0	3
109	70	0	1.587789	0	0	0	0	0	5e-006	100	0	0	0	3
110	71	0	1.60235587	0	0	0	0	0	5e-006	100	0	0	0	3
111	71	0	1.61692274	0	0	0	0	0	5e-006	100	0	0	0	3
112	72	0	1.63148961	0	0	0	0	0	5e-006	100	0	0	0	3
113	73	0	1.64605648	0	0	0	0	0	5e-006	100	0	0	0	3
114	74	0	1.66062336	0	0	0	0	0	5e-006	100	0	0	0	3
115	74	0	1.67519023	0	0	0	0	0	5e-006	100	0	0	0	3
116	75	0	1.6897571	0	0	0	0	0	5e-006	100	0	0	0	3
117	75	0	1.70432397	0	0	0	0	0	5e-006	100	0	0	0	3
