Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
72	46	0	1.04881475	300.000038	300.000035	300.000032	300.000038	6.16453974e-006	3.00000038e-006	48.6	0.0201134	0	0	3
73	47	0	1.06338162	300.000039	300.000035	300.000032	300.000039	6.30890275e-006	3.00000039e-006	47.5	0.0198771	0	0	3
74	48	0	1.07794849	300.000039	300.000035	300.000032	300.000039	6.47761021e-006	3.00000039e-006	46.3	0.0201279	0	0	3
75	48	0	1.09251537	300.000039	300.000035	300.000033	300.000039	6.59860723e-006	3.00000039e-006	45.4	0.0198713	0	0	3
76	49	0	1.10708224	300.000039	300.000036	300.000033	300.000039	6.62379432e-006	3.00000039e-006	45.2	0.0201235	0	0	3
77	49	0	1.12164911	300.00004	300.000036	300.000033	300.00004	6.72855782e-006	3.0000004e-006	44.5	0.0198795	0	0	3
78	50	0	1.13621598	300.00004	300.000036	300.000033	300.00004	6.83502788e-006	3.0000004e-006	43.8	0.0201378	0	0	3
79	51	0	1.15078285	300.00004	300.000036	300.000033	300.00004	6.90789852e-006	3.0000004e-006	43.4	0.0198941	0	0	3
80	51	0	1.16534972	300.00004	300.000036	300.000033	300.00004	6.94802679e-006	3.0000004e-006	43.1	0.0201602	0	0	3
81	52	0	1.17991659	300.00004	300.000037	300.000033	300.00004	6.96596743e-006	3.0000004e-006	43	0.019914	0	0	3
82	53	0	1.19448347	300.00004	300.000037	300.000033	300.00004	6.88522118e-006	3.0000004e-006	43.5	0.0201802	0	0	3
83	53	0	1.20905034	300.00004	300.000037	300.000033	300.00004	6.86774564e-006	3.0000004e-006	43.6	0.019931	0	0	3
84	54	0	1.22361721	300.00004	300.000037	300.000034	300.00004	6.71515932e-006	3.0000004e-006	44.6	0.0201985	0	0	3
85	55	0	1.23818408	300.00004	300.000037	300.000034	300.00004	6.5852791e-006	3.0000004e-006	45.5	0.0199393	0	0	3
86	55	0	1.25275095	300.00004	300.000038	300.000034	300.00004	6.43527807e-006	3.0000004e-006	46.6	0.0202178	0	0	3
87	56	0	1.26731782	300.00004	300.000038	300.000034	300.00004	6.32411638e-006	3.0000004e-006	47.4	0.0199668	0	0	3
88	57	0	1.2818847	300.00004	300.000038	300.000034	300.00004	6.1239536e-006	3.0000004e-006	48.9	0.0202496	0	0	3
89	57	0	1.29645157	300.000041	300.000038	300.000035	300.000041	5.98550116e-006	3.00000041e-006	50.1	0.0199791	0	0	3
90	58	0	1.31101844	300.000041	300.000038	300.000035	300.000041	5.78358674e-006	3.00000041e-006	51.8	0.0202467	0	0	3
91	59	0	1.32558531	300.000041	300.000038	300.000035	300.000041	5.57582979e-006	3.00000041e-006	53.8	0.019969	0	0	3
92	59	0	1.34015218	300.000041	300.000039	300.000035	300.000041	5.36975131e-006	3.00000041e-006	55.8	0.020233	0	0	3
93	60	0	1.35471905	300.000041	300.000039	300.000035	300.000041	5.16286707e-006	3.00000041e-006	58.1	0.0199631	0	0	3
94	60	0	1.36928592	300.000041	300.000039	300.000036	300.000041	4.96373366e-006	3.00000041e-006	60.4	0.0202347	0	0	3
95	61	0	1.3838528	300.000041	300.000039	300.000036	300.000041	4.76384008e-006	3.00000041e-006	62.9	0.0199737	0	0	3
96	61	0	1.39841967	300.000041	300.000039	300.000036	300.000041	4.583916e-006	3.00000041e-006	65.4	0.020253	0	0	3
97	62	0	1.41298654	300.000041	300.000039	300.000036	300.000041	4.3892058e-006	3.00000041e-006	68.3	0.0199971	0	0	3
98	63	0	1.42755341	300.000041	300.000039	300.000036	300.000041	4.23592678e-006	3.00000041e-006	70.8	0.0202711	0	0	3
99	63	0	1.44212028	300.000041	300.00004	300.000037	300.000041	4.02707428e-006	3.00000041e-006	74.4	0.0200149	0	0	3
100	64	0	1.45668715	300.000041	300.00004	300.000037	300.000041	3.85919935e-006	3.00000041e-006	77.7	0.0202747	0	0	3
101	65	0	1.47125403	300.000041	300.00004	300.000037	300.000041	3.65494435e-006	3.00000041e-006	82	0.0200222	0	0	3
102	65	0	1.4858209	300.000041	300.00004	300.000037	300.000041	3.43184979e-006	3.00000041e-006	87.4	0.0202668	0	0	3
103	66	0	1.50038777	300.000041	300.00004	300.000037	300.000041	3.20475846e-006	3.00000041e-006	93.6	0.0200091	0	0	3
104	67	0	1.51495464	300.000041	300.00004	300.000038	300.000041	2.92624139e-006	3.00000041e-006	100	0.0202726	0	0	3
105	68	0	1.52952151	300.000041	300.00004	300.000038	300.000041	2.64901814e-006	3.00000041e-006	100	0.0200204	0	0	3
106	68	0	1.54408838	300.000041	300.00004	300.000038	300.000041	2.35210445e-006	3.00000041e-006	100	0.0202857	0	0	3
107	69	0	1.55865525	300.000041	300.00004	300.000039	300.000041	2.06009202e-006	3.00000041e-006	100	0.0200303	0	0	3
108	70	0	1.57322213	300.000041	300.00004	300.000039	300.000041	1.79970402e-006	3.00000041e-006	100	0.0202912	0	0	3
109	70	0	1.587789	300.000041	300.00004	300.000039	300.000041	1.5213426e-006	3.00000041e-006	100	0.0200361	0	0	3
110	71	0	1.60235587	300.000041	300.00004	300.000039	300.000041	1.3000535e-006	3.00000041e-006	100	0.0202943	0	0	3
111	71	0	1.61692274	300.000041	300.00004	300.00004	300.000041	1.08078052e-006	3.00000041e-006	100	0.0200438	0	0	3
112	72	0	1.63148961	300.000041	300.00004	300.00004	300.000041	9.1983145e-007	3.00000041e-006	100	0.0202925	0	0	3
113	73	0	1.64605648	300.000041	300.000041	300.00004	300.000041	7.46345279e-007	3.00000041e-006	100	0.0200401	0	0	3
114	74	0	1.66062336	300.000041	300.000041	300.00004	300.000041	6.24241579e-007	3.00000041e-006	100	0.020303	0	0	3
115	74	0	1.67519023	300.000041	300.000041	300.00004	300.000041	5.12678355e-007	3.00000041e-006	100	0.0200453	0	0	3
116	75	0	1.6897571	300.000041	300.000041	300.00004	300.000041	4.27891962e-007	3.00000041e-006	100	0.020297	0	0	3
117	75	0	1.70432397	300.000041	300.000041	300.00004	300.000041	3.60322815e-007	3.00000041e-006	100	0.0200479	0	0	3
